Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 02/05  06:00:00,294.4163891,19.0153038,0,0,24.92036353,149.5221812,500.7390957,496.3729955,4.366100212,
 02/05  07:00:00,347.0193535,22.8876076,0,0,24.92036353,149.5221812,407.1810946,404.9912109,2.189883741,
 02/05  08:00:00,316.380035,19.0153038,0,0,24.92036353,149.5221812,441.1422269,438.9525403,2.18968653,
 02/05  09:00:00,319.9685784,22.8876076,0,0,24.92036353,149.5221812,263.973483,261.7836154,2.18986754,
 02/05  10:00:00,279.4176984,19.0153038,0,0,24.92036353,149.5221812,254.6451171,252.4552577,2.189859471,
 02/05  11:00:00,234.2977195,22.8876076,0,0,24.92036353,149.5221812,190.9029726,188.7131212,2.189851422,
 02/05  12:00:00,230.355621,18.94059871,0,0,24.92036353,149.5221812,199.7884201,195.4244407,4.363979343,
 02/05  13:00:00,233.4781376,22.1405567,0,0,24.92036353,149.5221812,152.4111045,150.2190914,2.192013103,
 02/05  14:00:00,229.6016771,18.2682529,0,0,24.92036353,149.5221812,157.7500764,151.2046329,6.545443538,
 02/05  15:00:00,232.2812828,21.01998036,0,0,24.92036353,149.5221812,107.8000335,105.6080401,2.191993389,
 02/05  16:00:00,229.3142466,18.04413763,0,0,24.92036353,149.5221812,116.989774,114.7999245,2.189849531,
 02/05  17:00:00,282.5931618,22.43937706,0,0,24.92036353,149.5221812,115.818631,113.6287895,2.189841511,
 02/05  18:00:00,367.5477043,19.38882925,0,0,24.92036353,149.5221812,176.6896408,174.4997448,2.189895959,
 02/05  19:00:00,370.687266,22.51408215,0,0,24.92036353,149.5221812,193.2297234,191.0400873,2.189636088,
 02/05  20:00:00,343.19375,19.38882925,0,0,24.92036353,149.5221812,258.628259,256.4383792,2.189879846,
 02/05  21:00:00,359.3218471,22.51408215,0.000700294,0,24.92036353,149.5221812,267.2542481,262.894514,4.35973408,
 02/05  22:00:00,318.843762,19.38882925,0,0,24.92036353,149.5221812,344.8289815,342.6359032,2.193078328,
 02/05  23:00:00,297.5065512,22.51408215,0,0,24.92036353,149.5221812,334.2631791,332.0735867,2.189592422,
 02/05  24:00:00,270.0411158,19.38882925,0,0,24.92036353,149.5221812,421.2261255,419.0364348,2.189690759,
 02/06  01:00:00,310.7407105,22.51408215,0,0,24.92036353,199.3629083,384.5423664,380.1808252,4.361541158,
 02/06  02:00:00,307.7351836,19.38882925,0,0,24.92036353,199.3629083,475.3044888,473.1140145,2.190474336,
 02/06  03:00:00,310.8100213,22.51408215,0,0,24.92036353,199.3629083,427.3884862,425.1978265,2.190659701,
 02/06  04:00:00,307.841662,19.38882925,0,0,24.92036353,199.3629083,541.3794221,537.0175056,4.361916446,
 02/06  05:00:00,323.0768172,22.51408215,0,0,24.92036353,199.3629083,440.9755405,438.7845843,2.19095612,
 02/06  06:00:00,369.4556724,19.38882925,0,0,49.84072707,199.3629083,536.6291759,532.2610658,4.368110159,
 02/06  07:00:00,431.360219,29.09957203,0,0,49.84072707,199.3629083,2535.677787,2531.311718,4.366069632,
 02/06  08:00:00,508.9741201,29.09957203,0,0,149.5221812,199.3629083,3652.330463,3643.570581,8.759881263,
 02/06  09:00:00,1054.161846,29.09957203,0,0,448.5665436,448.5665436,1680.898939,1661.055047,19.84389192,
 02/06  10:00:00,1014.919981,29.09957203,0,0,448.5665436,448.5665436,1149.902097,1130.032371,19.86972587,
 02/06  11:00:00,964.9891583,29.09957203,0,0,448.5665436,448.5665436,987.8716586,967.9908024,19.88085613,
 02/06  12:00:00,964.4217922,29.09957203,0,0,448.5665436,448.5665436,875.6475825,851.2561904,24.39139211,
 02/06  13:00:00,914.2168679,29.09957203,0,0,448.5665436,398.7258165,779.9638091,750.9962978,28.96751125,
 02/06  14:00:00,963.6504974,29.09957203,0,0,448.5665436,448.5665436,573.3505506,544.4265774,28.92397315,
 02/06  15:00:00,963.5369327,29.09957203,0,0,448.5665436,448.5665436,522.6232694,504.9910132,17.63225618,
 02/06  16:00:00,963.4921514,29.09957203,0,0,448.5665436,448.5665436,516.0877259,498.4648555,17.62287043,
 02/06  17:00:00,1012.363312,29.09957203,0,0,448.5665436,448.5665436,521.6611128,499.5191319,22.14198094,
 02/06  18:00:00,950.8291998,29.09957203,0,0,348.8850895,398.7258165,596.0348105,582.8590917,13.17571879,
 02/06  19:00:00,751.6587745,29.09957203,0,0,249.2036353,299.0443624,805.3290148,794.3730483,10.95596649,
 02/06  20:00:00,727.2675834,29.09957203,0,0,249.2036353,299.0443624,874.6334799,865.888848,8.744631912,
 02/06  21:00:00,577.8845684,29.09957203,0,0,149.5221812,249.2036353,1025.467194,1016.715076,8.752117999,
 02/06  22:00:00,553.4702242,29.09957203,0,0,149.5221812,249.2036353,1062.435396,1058.067675,4.367721197,
 02/06  23:00:00,349.3569717,0,0,0,49.84072707,199.3629083,2.190867924,0,2.190867924,
 02/06  24:00:00,299.9922129,0,0,0,24.92036353,199.3629083,4.361422847,0,4.361422847,
 02/07  01:00:00,287.7700151,0,0,0,24.92036353,199.3629083,2.190940529,0,2.190940529,
 02/07  02:00:00,288.5572177,0.783575242,0,0,24.92036353,199.3629083,5.86896958,3.6782602,2.19070938,
 02/07  03:00:00,289.3450754,1.567150484,0,0,24.92036353,199.3629083,12.38774744,8.025867585,4.361879858,
 02/07  04:00:00,289.7413209,1.958938105,0,0,24.92036353,199.3629083,14.75459017,12.56370876,2.190881402,
 02/07  05:00:00,301.5700941,1.567150484,0,0,24.92036353,199.3629083,13.10515584,10.91421946,2.19093638,
 02/07  06:00:00,351.3317756,1.958938105,0,0,49.84072707,199.3629083,18.96878458,14.60057286,4.368211722,
 02/07  07:00:00,428.7016801,29.09957203,0,0,49.84072707,199.3629083,1322.167827,1317.802049,4.365778456,
