Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 12/24  19:00:00,2.205838945,10.17218698,0,9.892214395,0,0.272365156,0.272365156,0.272365156,0.835928316,0.182127482,0.230146264,0.638159727,0.236017601
 12/24  20:00:00,2.040570098,10.12604603,0,9.84483239,0,0.271060574,0.271060574,0.271060574,0.780199812,0.169985661,0.143505724,0.658706327,0.235843457
 12/24  21:00:00,1.946391465,10.37542132,0,10.09152624,0,0.277852866,0.277852866,0.277852866,0.71053914,0.154808375,0.104727311,0.681351773,0.236965126
 12/24  22:00:00,1.783811263,10.59082386,0,10.30828009,0,0.283820811,0.283820811,0.283820811,0.599081964,0.130524696,0.087827064,0.665444728,0.236709457
 12/24  23:00:00,1.498506797,10.83648424,0,10.56030246,0,0.290759815,0.290759815,0.290759815,0.445828452,0.097134661,0.071814737,0.575857133,0.236518061
 12/24  24:00:00,1.260719475,11.17326393,0,10.90246,0,0.300180536,0.300180536,0.300180536,0.31347315,0.068297813,0.061246843,0.500409133,0.236336885
 12/25  01:00:00,0.993577966,11.63448681,0,11.36978327,0,0.313047481,0.313047481,0.313047481,0.160219638,0.034907759,0.054376515,0.413914574,0.236194055
 12/25  02:00:00,0.885984474,11.72332356,0,11.46113336,0,0.315562649,0.315562649,0.315562649,0.097525008,0.021248214,0.053430309,0.381106294,0.235940469
 12/25  03:00:00,0.836656752,11.85949406,0,11.59799176,0,0.31933081,0.31933081,0.31933081,0.06269463,0.013659563,0.04717208,0.37668767,0.235556918
 12/25  04:00:00,0.838923309,12.17903095,0,11.9180471,0,0.328142985,0.328142985,0.328142985,0.06269463,0.013659563,0.04592881,0.371385321,0.235403685
 12/25  05:00:00,0.830291563,12.20350481,0,11.94352515,0,0.328844479,0.328844479,0.328844479,0.06269463,0.013659563,0.0506247,0.357356191,0.235365777
 12/25  06:00:00,0.880925306,12.03967465,0,11.77708516,0,0.32426184,0.32426184,0.32426184,0.069660697,0.015177291,0.05593269,0.398780788,0.235122382
 12/25  07:00:00,1.073220947,12.55826721,0,12.29148952,0,0.338425081,0.338425081,0.338425081,0.14628747,0.031872313,0.078772097,0.460751986,0.235042146
 12/25  08:00:00,1.305424504,11.57759748,0,11.30918595,0,0.311379037,0.311379037,0.311379037,0.299540982,0.065262348,0.107546631,0.489583505,0.234690143
 12/25  09:00:00,1.209463196,11.46201721,0,11.1983454,0,0.308327233,0.308327233,0.308327233,0.29257494,0.063744625,0.113789823,0.413914574,0.235162326
 12/25  10:00:00,0.991308851,11.48891024,0,11.22913179,0,0.309174883,0.309174883,0.309174883,0.160219638,0.034907759,0.117619797,0.352274774,0.235514575
 12/25  11:00:00,0.990158567,12.74498664,0,12.48481955,0,0.343748092,0.343748092,0.343748092,0.132355302,0.028836848,0.107546631,0.360559693,0.235332556
