Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 10/24  13:00:00,0.803891245,1.683816016,0,1.002272625,0,0.027595858,0.027595858,0.027595858,0.10367836,0.022588873,0.322279448,0.310636706,0.660147445
 10/24  14:00:00,0.788666945,1.366370543,0,0.730784169,0,0.020120889,0.020120889,0.020120889,0.10367836,0.022588873,0.29703868,0.328128143,0.612985659
 10/24  15:00:00,0.821604648,1.300529405,0,0.656954354,0,0.018088111,0.018088111,0.018088111,0.109135134,0.023777747,0.307123779,0.346367877,0.619718024
 10/24  16:00:00,0.969208933,1.380067366,0,0.674508006,0,0.018571421,0.018571421,0.018571421,0.136418834,0.029722188,0.357691996,0.409692493,0.677340678
 10/24  17:00:00,1.276922606,2.324093187,0,1.488975714,0,0.040996392,0.040996392,0.040996392,0.223726957,0.048744404,0.448631948,0.497710904,0.800836284
 10/24  18:00:00,1.516688939,1.976484026,0,1.025342981,0,0.02823106,0.02823106,0.02823106,0.409256585,0.089166582,0.402558891,0.540363821,0.91392202
 10/24  19:00:00,1.709056995,2.047577116,0,1.076439101,0,0.029637904,0.029637904,0.029637904,0.643897005,0.140288752,0.320359612,0.557761721,0.932720664
 10/24  20:00:00,1.776650442,2.269456564,0,1.364000386,0,0.037555411,0.037555411,0.037555411,0.709378119,0.154555418,0.281112667,0.576936826,0.865718089
 10/24  21:00:00,1.6120692,2.40106085,0,1.578807287,0,0.043469751,0.043469751,0.043469751,0.594786295,0.129588761,0.263644909,0.563467484,0.783443211
 10/24  22:00:00,1.316997,2.728909036,0,2.042860859,0,0.05624667,0.05624667,0.05624667,0.447453915,0.097488789,0.211086729,0.487608897,0.65246279
 10/24  23:00:00,1.028172444,2.998110793,0,2.458159234,0,0.067681198,0.067681198,0.067681198,0.311034998,0.067766601,0.140854588,0.423723058,0.510766483
 10/24  24:00:00,0.735734491,3.443568139,0,3.059254739,0,0.084231332,0.084231332,0.084231332,0.158245844,0.034477737,0.091184068,0.35048351,0.360172897
 10/25  01:00:00,0.627160849,3.611032082,0,3.297003032,0,0.090777323,0.090777323,0.090777323,0.098221587,0.021399981,0.076946966,0.322702991,0.291802006
 10/25  02:00:00,0.573877363,3.697015091,0,3.402457642,0,0.093680835,0.093680835,0.093680835,0.065481055,0.014266654,0.064375311,0.318961507,0.27258811
